cpu,ram,network
14.2,24.5,0.1
15.0,25.0,0.1
14.8,24.8,0.2
15.1,25.1,0.1
14.5,25.2,0.1
15.3,25.0,0.1
16.0,25.5,0.2
15.5,25.4,0.1
14.9,25.2,0.1
15.2,25.5,0.1
35.2,26.0,2.5
60.5,28.5,4.8
85.4,30.1,5.5
95.2,35.4,7.1
99.9,45.0,8.2
100.0,50.1,9.2
100.0,52.3,9.5
100.0,55.4,9.6
100.0,58.2,9.4
100.0,60.1,9.8
100.0,62.5,9.7
100.0,65.5,9.5
100.0,67.1,9.9
100.0,68.8,9.6
100.0,70.2,9.9
100.0,72.0,9.5
100.0,73.5,9.8
100.0,75.1,9.6
100.0,76.4,9.9
100.0,78.0,9.7
65.4,78.0,4.5
45.2,70.5,2.1
25.4,40.0,1.5
18.5,30.5,0.5
16.2,26.0,0.2
15.1,25.5,0.1
14.8,25.1,0.1
15.0,25.0,0.1
14.5,24.9,0.1
15.2,25.0,0.1
14.9,24.8,0.1
15.1,25.2,0.1
14.6,25.0,0.1
15.0,25.1,0.1
14.8,25.0,0.1
