cpu,ram,network
3.0,12.0,0.0
6.5,14.5,0.1
10.2,18.0,0.2
14.5,21.5,0.3
12.0,23.2,0.1
11.2,24.0,0.1
10.5,24.5,0.1
11.0,24.8,0.1
15.5,26.0,0.2
22.4,28.5,0.2
35.8,35.0,0.2
48.2,45.5,0.3
65.4,58.2,0.4
78.1,70.5,0.5
88.9,82.4,0.6
95.4,90.1,0.7
98.2,95.5,0.8
99.5,98.2,0.9
100.0,99.5,1.0
100.0,99.9,0.2
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
100.0,100.0,0.0
